name,Internal Reference,Sales Price,categ_id/name,description,type,detailed_type,qty_available
"CloneBrews, 2nd Edition: Recipes for 200 Commercial Beers by Tess Szamatulski",483323F,19.95,Homebrew,,product,product,1
Clouds of Haze Hazy/Juice Double IPA by Brewmaster Beer Ingredient Kit Makes 5 Gal,N267186,78.99,Homebrew,,product,product,0
Co2 Cornelius Keg Charger,403804A,19.99,Homebrew,,product,product,0
CO2 Offset Wrench,632432759098,5.99,Homebrew,,product,product,5
"Coconut Flavoring , 4 oz",579944Q,5.99,Homebrew,,product,product,0
"Coffee Beans, Brazil Minas Gerais",490824B,5.99,Homebrew,,product,product,0
"Coffee Beans, Java, Indonesia",A621410,8.99,Homebrew,,product,product,0
"Coffee Beans, La Pastora Tarrazu, Costa Rica",501843J,8.99,Homebrew,,product,product,0
"Coffee Beans, Romella, Costa Rica",295295X,7.5,Homebrew,,product,product,0
"Coffee Beans, Sumatra, Indonesian",377855M,9.5,Homebrew,,product,product,0
Complete Kombucha Brewing Starter Kit – Classic,KK111,42.99,Homebrew,COMPLETE ORGANIC KOMBUCHA KIT -THE COMPLETE ORGANIC KOMBUCHA,product,product,0
Concord Wine Adhesive Wine Bottle Labels,888690041608,3.99,Homebrew,,product,product,0
Copper Mesh Roll,888690046849,15.99,Homebrew,,product,product,0
Copper Scrubby,579388A,2.0,Homebrew,,product,product,0
Coriander Seed 1oz.,888690024045,2.5,Homebrew,,product,product,0
Cork 8 x 1 3/4,888690040649,0.2,Homebrew,,product,product,393
"Corker, Easy Double Lever Corker",812075020322,29.99,Homebrew,,product,product,0
"Corker, Ferrari Easy Double Lever",8006818177035,32.99,Homebrew,,product,product,0
Corks 9x1 1/2 30 ct,888690040625,5.99,Homebrew,,product,product,0
"Corn Sugar, 50 lb",562533N,89.99,Homebrew,,product,product,0
Corny Keg Hand Pump,653662000163,39.99,Homebrew,,product,product,2
Corny Keg Lid Secondary Ferm,632432759173,24.99,Homebrew,,product,product,0
Craft A Brew - GIN Kit - Botanical Blend - For DIY Home Brewing,4033904,24.99,Homebrew,,product,product,0
Craft A Brew - Hard Cider Kit - Beer Making Kit - Make Your Own Craft Beer - Complete Equipment and Supplies - Starter Home Brewing Kit,858267004411,49.99,Homebrew,,product,product,2
"Craft A Brew - Merlot Wine Making Kit, 1 gallon",2645505,0.0,Homebrew,,product,product,0
Craft A Brew | Chardonnay Wine Making Kit | 1 Gallon,Q855688,69.99,Homebrew,,product,product,1
Craft A Brew | Deluxe Homebrew Bottling Kit | 30+ Caps | Easy Bottling Set with 10 Empty 12oz. | Amber Glass Bottles | Capper | Essential Equipment for Fresh Beer Bottling,858267004305,39.99,Homebrew,This deluxe bottling kit comes with everything you need to b,product,product,1
Craft A Brew Mead Making Kit,850007773335,49.99,Homebrew,"Mead is the original fermented beverage, predating wine or b",product,product,2
Cranberry Brewers Best Natural Flavoring 4oz,888690337121,5.99,Homebrew,,product,product,1
Cream Ale by Brewmaster Beer Ingredient Kit Makes 5 gal,161786F,39.99,Homebrew,,product,product,0
Crottin Cheese Mold,J080904,8.0,Homebrew,,product,product,8
"Crown of Thorns - 4"" Pot",4_CROWN.OF.THORN_RED,14.99,Homebrew,Botanical Name: Euphorbia milii Common Names: Crown of Thor,product,product,4
Cryo Hops Lupuln2 Pellets Cascade1oz Beer Brewing Hop Pellets,840672100017,5.99,Homebrew,,product,product,0
Cryo Hops Simcoe Pellets 1oz,840672105722,6.99,Homebrew,,product,product,0
Cryo Hops® Cryo POPTM Tri 2304CR Blend Pellet Hops 1oz,840672110689,6.99,Homebrew,,product,product,0
"D-1 Simplicity Belgian Candi Syrup Clear, 16 oz",609613914287,7.49,Homebrew,,product,product,0
"D-180 Premium Extra Dark Belgain Candi Syrup, 16 oz.",609613914317,7.49,Homebrew,,product,product,0
"D-45 Amber Belgian Candi Syrup, 16 oz",609613914294,7.49,Homebrew,,product,product,0
D-5 Premium Golden Belgian Candi Syrup 16 oz,609788192077,7.49,Homebrew,,product,product,0
D-90 Dark Belgian Candi Syrup 16 oz,609613914300,7.49,Homebrew,,product,product,1
Dandelion Adhesive Wine Bottle Labels 30 ct,888690044074,3.99,Homebrew,,product,product,0
DAP 1 lb,843200100084,6.99,Homebrew,,product,product,0
DAP nutrient,843200100077,1.99,Homebrew,,product,product,0
Dark Star 2.0 Burner,81207502117,59.99,Homebrew,,product,product,0
"Dextrose, Corn Sugar 4lb",888690219908,12.99,Homebrew,,product,product,4
"Dextrose, Corn Sugar, 1 lb.",888690019898,3.49,Homebrew,,product,product,4
Diammonium Phosphate 2oz,888690163706,1.99,Homebrew,,product,product,9
